Manufacturer;Model;Status
Hp;Bl660;Scrap
Hp;D1;Scrap
Hp;D2200;Scrap
Hp;D2220;Scrap
Hp;Dl160;Sell
Hp;Dl20;Sell
Hp;Dl320;Scrap
Hp;Dl360;Sell
Hp;Dl380;Sell
Hp;Dl560;Scrap
Hp;Dl580;Scrap
Hp;Dl60;Scrap
Hp;G1610;Scrap
Hp;M6710;Scrap
Hp;Ml10;Scrap
Hp;Ml110;Scrap
Hp;Ml150;Scrap
Hp;Ml30;Scrap
Hp;Ml310;Scrap
Hp;Ml350;Scrap
Hp;P44718;Scrap
Hp;P54644;Scrap
Hp;P9;Scrap
Hp;Proliant Dl20 Gen 9;Sell
Hp;Proliant Dl360 Gen 9;Scrap
Hp;Proliant Dl380 Gen10;Scrap
Hp;Proliant Dl380 Gen9;Sell
Hp;Proliant Dl380E Gen 8;Scrap
Hp;Proliant Ml350 Gen 9;Scrap
Hp;X146;Scrap
Hp;X3;Scrap
Hp;X3216;Sell
Hp;X4;Scrap
Ibm;Power System S822;Scrap
Ibm;Ts2900;Scrap
Ibm;X3550;Scrap
Ibm;X3650;Scrap
Ibm;X4;Scrap
Ibm;X8;Scrap
Lenovo;M82;Scrap
Lenovo;P330;Sell
Lenovo;System X 3550 M5;Sell
Lenovo;System X3650 M3;Scrap
Lenovo;T420;Scrap
Lenovo;T470;Scrap
Lenovo;Thinksystem Sr630;Sell
Lenovo;Ts460;Sell
Lenovo;X16;Scrap
Lenovo;X3550;Scrap
Lenovo;X3650;Sell
Lenovo;X3750;Scrap
Lenovo;X3850;Scrap
Oracle;X4270;Scrap
Quanta;D51B-2U;Scrap
Quanta;D51Pc-1U;Scrap
Quanta;T41S-2U;Sell
Quanta;T42;Scrap
Quanta;X1;Scrap
Supermicro;Cse-113;Scrap
Supermicro;Cse-116;Scrap
Supermicro;Cse-118;Scrap
Supermicro;Cse-216;Scrap
Supermicro;Cse-418;Scrap
Supermicro;Cse-504;Scrap
Supermicro;Cse-512;Scrap
Supermicro;Cse-512-350;Sell
Supermicro;Cse-731;Scrap
Supermicro;Cse-811;Scrap
Supermicro;Cse-813;Scrap
Supermicro;Cse-813M;Scrap
Supermicro;Cse-815;Scrap
Supermicro;Cse-819U;Sell
Supermicro;Cse-825;Scrap
Supermicro;Cse-826;Scrap
Supermicro;Cse-827;Scrap
